tf_name,bound_promoters
Ace2,SPAC343.13;SPAC343.20;SPAPYUG7.03c;SPNCRNA.1246;SPCC1442.07c;SPCC18.01c
Cdc10,SPAP14E8.02;SPAC17H9.20;SPAC513.04;SPAC513.05;SPAC1F7.04;SPAC1F7.05;SPAC17H9.19c;SPAC513.03;SPBC660.14;SPBC428.18;SPNCRNA.324;SPBC119.04;SPNCRNA.325;SPBC1306.02;SPNCRNA.1495;SPBC14C8.10;SPNCRNA.1547;SPNCRNA.1548;SPBC1778.04;SPBC25D12.04;SPBC3B9.01;SPBC1347.02;SPBC1347.03;SPBC660.12c;SPBC660.13c;SPBC428.17c;SPBC1306.01c;SPBC14C8.07c;SPBC336.12c;SPBC1778.03c;SPBC32C12.03c;SPBC1347.01c;SPCC553.07c;SPCC594.01;SPCC63.13;SPCC63.14;SPCC1442.01;SPCC290.04;ENSRNA049624288;SPCTRNASER.13;SPCPB1C11.02;SPCC70.10;SPNCRNA.1126;SPNCRNA.1133;SPCC1450.16c;SPCC70.08c;SPCC70.09c
Cuf1,SPAC56F8.15;SPAC56F8.14c
Deb1,SPAC31A2.06;SPAC19E9.03;SPAC9.04;SPAC9.10;SPNCRNA.171;SPNCRNA.185;SPNCRNA.189;SPNCRNA.286;SPAC19A8.07c;SPAC7D4.07c;SPAC7D4.06c;SPAC644.15;SPAC644.16;SPAC3F10.19;SPAC3F10.13;SPAC513.04;SPAC513.05;SPAC24C9.04;SPNCRNA.14;SPAPB1E7.14;SPNCRNA.974;SPAC25G10.06;SPAC27F1.08;SPAC9E9.01;SPAC20G4.08;SPNCRNA.1032;SPAC4F10.18;SPAC1B3.08;SPAC1B3.21;SPAC890.08;SPNCRNA.258;SPAC22E12.01;SPAC22E12.02;SPAP8A3.06;SPNCRNA.280;SPNCRNA.281;SPAC186.03;SPAC186.06;SPNCRNA.310;SPAC31A2.05c;SPAC9.03c;SPAC607.02c;SPAC607.03c;SPNCRNA.807;SPAC13D6.02c;SPAC22H10.12c;SPAC6B12.02c;SPAC6B12.03c;SPAC6B12.14c;SPAC23H3.08c;SPAC7D4.08;SPAC644.14c;SPNCRNA.855;SPAC513.03;SPAC24C9.16c;SPAC1486.03c;SPAC26A3.13c;ENSRNA049676580;SPRRNA.20;SPAC2C4.17c;SPAC25G10.05c;SPAC16.05c;SPNCRNA.99;SPAC20G4.07c;SPAC4F10.16c;SPAC1B3.07c;SPAC1B3.09c;SPAC890.07c;SPNCRNA.1050;SPAC29A4.05;SPAC186.05c;SPBC106.19;SPBC1685.16;SPBC3D6.15;SPBC17A3.06;SPBC18H10.19;SPBC28E12.05;SPBP23A10.08;SPNCRNA.1506;SPBC24C6.13;SPBC19G7.04;SPBC19G7.16;SPBC21D10.09c;SPNCRNA.1538;SPBC4F6.12;SPBC32F12.11;SPBC20F10.01;SPBPB8B6.04c;SPBC1685.14c;SPBC947.02;SPBC409.19c;SPBC409.20c;SPBC3D6.03c;SPBC8D2.10c;SPBC17A3.05c;SPNCRNA.1466;SPBC29A3.02c;SPBC19G7.03c;SPBC19G7.19;SPBC21D10.10;SPBC6B1.05c;SPBC4F6.11c;SPBC32F12.17;SPBP4H10.21c;SPBC25H2.02;SPNCRNA.1694;SPCC1884.02;SPCC1235.16;SPCC970.10c;SPCPJ732.01;SPCC1020.04c;SPCC24B10.06;SPCC24B10.18;SPCC895.06;SPCC1322.11;SPCC663.17;SPNCRNA.1236;SPCC18.02;SPCC576.09;SPCC126.09;SPCC1620.03;SPCC1620.08;SPCC830.02;SPCC1919.04;SPNCRNA.07;SPCC1235.05c;SPCC736.04c;SPCC1672.06c;SPCC16C4.18c;SPCC1020.05;SPCC1020.14;SPCC11E10.07c;SPCC162.04c;SPCC1223.10c;SPCC18.01c;SPNCRNA.1258;SPCC576.06c;SPCC576.08c;SPNCRNA.1262;SPCC126.02c;SPCC126.07c;SPCC126.08c;SPCC1620.06c;SPNCRNA.1272;SPNCRNA.1287;SPCC1494.08c;SPBC460.02c
Esc1,SPAC56F8.15;SPNCRNA.784;SPAC3H1.11;SPAC32A11.01;SPAC3H5.09c;SPAC328.03;SPNCRNA.783;SPAC32A11.04c;SPAC3H5.10;SPNCRNA.911;SPNCRNA.529;SPNCRNA.1323;SPBC1198.08;SPNCRNA.1358;SPBC17D1.05;SPNCRNA.112;SPNCRNA.419;SPNCRNA.1598;SPNCRNA.1599;SPNCRNA.1670;SPBC56F2.05c;SPBC1348.14c;SPBC1198.07c;SPBC428.01c;SPBC428.02c;SPNCRNA.1359;SPBC15C4.04c;SPNCRNA.1593;SPBC13A2.04c;SPNCRNA.1669
Fep1,SPNCRNA.139;SPNCRNA.605;SPAC5H10.01;SPAC56F8.15;SPAC343.12;ENSRNA049631028;SPATRNATYR.01;SPAC1002.20;SPAC631.02;SPAC6B12.15;SPSNORNA.11;SPSNORNA.54;ENSRNA049676761;SPAC1071.02;SPAC19G12.09;SPAC26H5.11;SPAC25B8.01;SPAC25B8.02;SPAC25B8.03;ENSRNA049676787;SPNCRNA.98;SPAC25G10.06;SPAC9E9.04;SPAC9E9.05;SPAC17C9.13c;SPAC17C9.11c;SPAC19B12.04;SPAC26F1.10c;SPAC14C4.11;SPAC1F8.02c;SPAC1F8.03c;SPNCRNA.604;SPAC11D3.18c;SPAC22H12.04c;SPAC343.20;SPAC1002.13c;SPAC631.01c;SPAC18G6.07c;SPNCRNA.826;SPAC644.18c;SPAC6F6.06c;SPAC6F6.07c;SPACUNK4.15;SPAC3H5.11;SPAC1071.01c;SPNCRNA.53;SPAC27E2.11c;SPAC19G12.10c;SPAC26H5.07c;SPAC26H5.10c;SPAC25B8.12c;ENSRNA049676580;SPRRNA.20;SPAC25G10.05c;SPAC16.05c;SPNCRNA.988;SPAC17C9.12;SPNCRNA.1034;SPAC14C4.10c;SPBC1683.01;SPBC1683.02;SPBC1198.01;SPBC660.11;SPBC1685.03;SPBC947.06c;SPBC947.05c;SPBPJ4664.01;SPBC119.02;SPNCRNA.1386;SPBC32H8.07;SPBC19C2.07;SPBC19C2.08;SPBP23A10.08;SPBC29A3.04;SPBC29A3.05;SPBC18E5.06;SPNCRNA.110;SPBC18E5.13;SPBC4F6.09;SPBC11C11.02;SPBC4B4.08;SPBC1105.14;SPBC887.16;SPBC887.17;SPBC3B9.12;SPBC1683.09c;SPBC1683.13c;SPNCRNA.565;SPBC1685.02c;SPBC947.07;SPNCRNA.1382;SPBC530.06c;SPBC530.12c;SPBC27B12.03c;SPNCRNA.1435;SPBC19C2.06c;SPBC1D7.03;SPBC18E5.05c;SPBC18E5.12c;SPBC12C2.14c;SPBC17D1.17;SPNCRNA.1611;SPNCRNA.1617;SPBP8B7.15c;SPBC3B9.11c;SPBC3B9.13c;SPBC14F5.04c;SPNCRNA.1683;SPBC16G5.14c;SPNCRNA.497;SPNCRNA.453;ENSRNA049622790;SPCTRNAHIS.03;SPNCRNA.1111;SPCC1235.01;SPCC970.04c;SPCC1672.01;SPCC1393.08;SPCC16A11.08;SPCC1795.04c;SPNCRNA.490;SPCC338.11c;SPNCRNA.1195;SPCC61.02;SPCC188.11;SPCC663.17;SPCC663.04;SPNCRNA.1218;SPCC191.07;SPCC191.08;SPCC285.08;ENSRNA049624069;SPCTRNAHIS.04;SPCC1739.13;SPNCRNA.1260;SPCC1620.08;SPCC757.07c;SPCC757.11c;SPCC330.21;SPCC330.06c;SPNCRNA.1116;SPCC970.05;SPCC962.06c;SPNCRNA.16;SPCC1795.06;SPNCRNA.128;ENSRNA049677236;SPCC132.05c;SPCC338.13;SPCC338.12;SPCC622.12c;SPCC61.01c;SPCC188.14;SPCC417.15;SPNCRNA.32;SPCC417.16;SPNCRNA.1221;SPNCRNA.1258;SPCC576.03c;SPNCRNA.1259;SPCC1840.02c
Fhl1,SPAC13G6.03;SPNCRNA.141;SPAC13G6.08;SPSNORNA.01;SPNCRNA.659;SPSNORNA.02;SPSNORNA.03;SPSNORNA.04;ENSRNA049676807;SPSNORNA.05;SPSNORNA.06;ENSRNA049630825;SPATRNASER.01;ENSRNA049630868;SPATRNAMET.01;SPAC22A12.05;SPNCRNA.723;SPSNORNA.07;SPSNORNA.08;SPSNORNA.09;SPNCRNA.82;ENSRNA049676348;SPNCRNA.727;SPSNORNA.10;SPAC10F6.15;SPNCRNA.729;SPAPB17E12.05;SPAPB17E12.06;SPAPB17E12.13;SPSNORNA.53;SPAC3A12.10;SPAC9.09;SPAC343.12;SPAC664.05;SPAC1002.20;SPAC23C11.03;SPAC18G6.13;SPNCRNA.189;SPAC4G9.15;SPAC6B12.15;SPSNORNA.11;SPAC644.15;SPAC644.16;SPSNORNA.54;ENSRNA049676761;SPAC1805.13;SPAC1805.14;SPAC3F10.17;SPAC589.11;SPNCRNA.893;SPNCRNA.219;SPAPB1E7.12;SPAC26A3.04;SPAC26A3.05;SPAC26A3.08;SPAC959.07;SPAC959.08;SPAC3H5.12c;SPAC3H5.13;SPAC3H5.09c;SPAC3H5.06c;SPAC3H5.05c;SPAC17G6.06;SPAC15E1.03;SPAC15E1.04;SPNCRNA.510;SPNCRNA.942;SPAC1071.08;SPAC11G7.04;SPAC23A1.09;SPAC23A1.11;SPAC26H5.11;SPNCRNA.972;SPAC25G10.06;SPAC144.11;SPAC144.12;SPNCRNA.1030;SPNCRNA.1031;SPNCRNA.1032;SPAC4F10.18;SPAC19B12.04;SPAC890.08;SPNCRNA.258;SPAC22E12.01;SPAC1006.07;SPAC26F1.13c;SPSNORNA.19;SPAC3G6.05;SPNCRNA.265;SPAC13G6.01c;SPAC13G6.06c;SPAC13G6.07c;SPNCRNA.645;SPNCRNA.647;SPNCRNA.648;SPAC24H6.08;SPAC24H6.07;SPAC22H12.04c;SPAC30D11.12;SPAC22A12.03c;SPAC22A12.04c;SPNCRNA.722;SPAC10F6.14c;SPAPB17E12.12c;SPAC3A12.09c;SPNCRNA.741;SPAC9.08c;SPAC343.20;SPAC664.04c;SPAC1002.13c;SPAC9G1.03c;SPAC23C11.02c;SPAC1783.07c;SPAC1783.08c;SPNCRNA.806;SPAC18G6.14c;SPNCRNA.807;SPAC13D6.02c;SPAC4G9.16c;SPNCRNA.826;SPAC644.14c;SPAC644.18c;SPAC6F6.06c;SPAC6F6.07c;SPAC1805.11c;SPAC1805.12c;SPAC3F10.16c;SPAC3F10.18c;SPAC31G5.17c;SPAC589.10c;SPAC3G9.04;SPNCRNA.87;SPAC3G9.03;SPAC6G10.10c;SPAC6G10.11c;SPAC6G9.09c;SPAPB1E7.11c;SPAC26A3.03c;SPAC26A3.07c;SPAC959.06c;SPAC3H5.11;SPAC3H5.10;SPAC3H5.07;SPAC3H5.04;SPAC17G6.05c;SPAC1F12.02c;SPAC4H3.11c;SPSNORNA.30;SPAC1071.07c;SPNCRNA.53;SPAC27E2.11c;SPAPJ698.02c;SPAC23A1.08c;SPAC26H5.10c;SPAC694.04c;SPAC694.05c;SPAC1F7.13c;SPAC2C4.15c;SPAC2C4.16c;SPAC25G10.05c;SPNCRNA.1013;SPNCRNA.1015;SPAC4F10.13c;SPAC4F10.14c;SPAC4F10.16c;SPNCRNA.1034;SPAC890.07c;SPAC1250.05;SPSNORNA.16;ENSRNA049676829;SPBC106.18;SPBC106.19;SPBC1685.03;SPBC839.04;SPBC577.02;SPBC1709.05;SPBC1709.06;SPBC3D6.15;SPBP22H7.08;SPNCRNA.1434;SPBC21B10.14;SPBC19C2.07;SPBC19C2.08;SPBC2F12.14c;SPSNORNA.22;SPBC2F12.03c;SPNCRNA.1461;SPBC18H10.13;SPBC18H10.14;SPBC18H10.15;SPBC29A3.04;SPBC29A3.05;SPBC29A3.12;SPNCRNA.1484;SPBC18E5.04;SPBC18E5.06;SPNCRNA.110;SPBC1711.06;SPBC17G9.07;SPBC19G7.04;SPBC4F6.04;SPBC336.11;SPBC685.06;SPBC685.08;SPBP4H10.13;SPNCRNA.414;SPBC405.07;SPBC776.01;ENSRNA049677729;SPSNORNA.45;SPBC776.11;SPBC19F8.08;SPBC25H2.16c;SPBC25H2.06c;SPBC11C11.07;SPBC11C11.08;SPBC11C11.10;SPBP8B7.04;SPBP8B7.06;SPBC21C3.13;SPBC3B9.12;SPNCRNA.1666;SPBC16A3.08c;SPBC16A3.07c;SPBC16C6.11;SPNCRNA.1355;SPNCRNA.565;SPBC1685.02c;SPBC839.03c;ENSRNA049630298;SPBTRNALYS.06;SPBC839.13c;SPBC3D6.03c;SPBC83.02c;SPNCRNA.1444;SPBC29B5.03c;SPBC21B10.11;SPBC21B10.10;SPBC19C2.06c;SPBC2F12.04;SPSNORNA.23;SPBC18H10.11c;SPBC18H10.12c;SPSNORNA.24;SPNCRNA.1464;SPNCRNA.1465;SPBC29A3.11c;SPBC18E5.03c;SPBC18E5.05c;SPBC17G9.06c;SPBC19G7.03c;SPBC1921.01c;SPBC365.02c;SPBC365.03c;SPBC3E7.16c;SPBC336.09c;SPBC336.10c;SPBC685.07c;SPBP4H10.14c;SPNCRNA.1582;SPNCRNA.541;ENSRNA049678299;SPBC776.10c;SPBC25H2.07;SPNCRNA.1594;SPBC11C11.09c;SPNCRNA.1627;SPBP8B7.03c;SPBP8B7.05c;SPBC21C3.12c;SPBC3B9.11c;SPBC3B9.13c;SPBC1347.13c;SPBC56F2.12;SPBC56F2.03;SPBC56F2.02;SPBC14F5.04c;SPNCRNA.1683;SPBC16G5.14c;SPNCRNA.497;SPNCRNA.1686;SPCC613.06;SPCC613.07;SPNCRNA.1111;SPCC1235.01;SPCC1682.14;SPCC1682.15;SPCC364.02c;SPCC970.04c;SPCC962.01;SPCC962.04;SPCC962.05;SPNCRNA.467;ENSRNA049677122;SPSNORNA.32;SPCC1672.10;SPCC5E4.07;SPCC16C4.19;SPNCRNA.471;SPCC1393.03;SPCC1393.04;SPCC1393.08;SPCC24B10.09;SPNCRNA.477;SPCC1795.10c;SPCC1795.04c;SPCC1322.11;SPCC622.18;SPCC622.19;SPCC663.04;SPCC1450.04;SPNCRNA.1225;SPCC1223.06;SPNCRNA.508;SPCC74.05;SPCC74.06;SPCC18.20;SPCC18.15;SPCC576.09;SPNCRNA.119;SPCC576.11;SPCC613.04c;SPCC613.05c;SPNCRNA.1103;SPCC330.21;SPCC330.06c;SPNCRNA.1112;SPCC330.14c;SPNCRNA.1116;SPCC364.03;SPCC970.05;SPCP31B10.08c;SPCC1183.08c;SPNCRNA.1150;SPCC16C4.13c;SPCC1393.02c;SPCPB16A4.03c;SPCC1795.11;SPCC1795.06;SPNCRNA.128;ENSRNA049677236;SPCC825.05c;SPCC1259.01c;SPCC1281.06c;SPCC285.15c;SPCC1223.15c;SPCC1223.05c;SPNCRNA.1245;SPCC576.08c;SPNCRNA.1261
Fil1,SPAC56F8.15;SPAC2F3.08;SPNCRNA.954;SPNCRNA.12;SPAC9E9.03;SPNCRNA.1035;SPAPB8E5.03;SPAC56F8.14c;SPAC2F3.07c;SPAPB15E9.01c;SPAPB8E5.02c;SPBC32H8.15;SPBC32H8.02c;SPNCRNA.1645;SPCC757.10;SPCC757.09c
Fkh2,SPNCRNA.659;SPSNORNA.02;SPSNORNA.03;SPSNORNA.04;ENSRNA049676807;SPSNORNA.05;SPSNORNA.06;SPAC23C4.13;SPAC23C11.16;ENSRNA049631359;SPATRNALYS.05;SPNCRNA.215;SPAC16A10.04;SPAC328.03;SPAC15A10.10;SPAC29E6.04;SPAC4F10.22;SPNCRNA.255;SPAC26F1.13c;SPAC23H3.08c;SPACUNK4.15;SPNCRNA.911;SPNCRNA.529;SPAC15A10.09c;SPAC1071.09c;SPAC26H5.07c;SPAC29E6.03c;SPNCRNA.1033;SPAC19B12.02c;SPSNORNA.16;ENSRNA049676829;SPBC660.14;SPBC428.18;SPBC119.14;SPBC1709.05;SPBC1709.06;SPBC1306.02;SPBC725.10;SPNCRNA.342;SPBC725.12;SPBC725.14;SPBC32H8.09;SPBC27.04;SPNCRNA.1455;SPBC2F12.12c;SPBC19G7.04;SPBC11C11.02;SPNCRNA.439;SPBC660.13c;SPBC428.17c;SPBC1306.01c;SPBC725.11c;SPBC725.13c;SPBC32H8.08c;SPNCRNA.1436;SPSNORNA.47;SPNCRNA.1446;SPBC2F12.13;SPBC19G7.03c;SPBC16G5.15c;SPCC1682.14;SPCC1682.15;SPNCRNA.467;ENSRNA049677122;SPSNORNA.32;SPCC1672.10;SPCC63.13;SPCC63.14;SPCC24B10.21;SPCC24B10.22;SPNCRNA.122;SPCC1322.04;SPCC1183.12;SPCC1281.06c;SPCC584.15c;SPCC162.04c
Adn2,SPAC1F8.08;SPNCRNA.143;SPNCRNA.627;SPNCRNA.144;SPNCRNA.628;SPNCRNA.145;SPNCRNA.651;SPNCRNA.679;SPAC1A6.11;SPAC56F8.15;SPNCRNA.724;SPAC10F6.16;SPAC5D6.10c;SPAC343.21;SPAC343.12;SPAC110.01;SPNCRNA.779;SPNCRNA.781;SPNCRNA.784;SPAC3H1.11;SPAC631.02;SPNCRNA.831;SPNCRNA.200;SPAC4F8.07c;SPNCRNA.857;SPACUNK4.19;SPACUNK4.16c;SPNCRNA.859;SPNCRNA.01;SPNCRNA.213;SPAC16A10.01;SPAC8E11.02c;SPAC8E11.01c;SPNCRNA.910;SPAC3A11.07;SPAC328.03;SPNCRNA.917;SPAC17A2.11;SPAC17A2.12;SPNCRNA.92;SPNCRNA.93;SPAC2F3.08;SPNCRNA.950;SPAC2F3.09;SPNCRNA.954;SPAPB15E9.06;SPNCRNA.963;SPAC9E9.01;SPNCRNA.989;SPNCRNA.990;SPNCRNA.248;SPNCRNA.996;SPAC17D4.01;SPNCRNA.1035;SPAPB8E5.03;SPAC19D5.01;SPAC1039.02;SPAC1F8.07c;SPAC806.11;SPNCRNA.03;SPNCRNA.626;SPAC24H6.13;SPAC4G8.03c;SPAC1A6.04c;SPAC56F8.14c;SPAC10F6.01c;SPNCRNA.728;SPAC343.20;SPAC110.05;SPNCRNA.777;SPNCRNA.783;SPAC631.01c;SPAC23H3.15c;SPAC4F8.08;SPAC8F11.10c;SPACUNK4.15;SPAC2E1P3.05c;SPNCRNA.872;SPNCRNA.72;SPNCRNA.73;SPNCRNA.74;SPNCRNA.873;SPNCRNA.904;SPNCRNA.909;SPNCRNA.911;SPNCRNA.529;SPAC17A2.10c;SPAC1071.10c;SPAC2F3.07c;SPAPB15E9.01c;SPNCRNA.53;SPAC27E2.11c;SPAC26H5.09c;SPAC25B8.12c;SPAC16.05c;SPNCRNA.99;SPAC9E9.09c;SPAC27D7.11c;SPNCRNA.995;SPAC1834.13;SPNCRNA.253;SPAC22F8.03c;SPAPB8E5.02c;SPNCRNA.1054;SPAC26F1.11;SPNCRNA.1058;SPBPB21E7.08;SPBC1683.08;SPNCRNA.298;SPNCRNA.100;SPBC1685.17;SPNCRNA.1367;SPBC1685.13;ENSRNA049626982;SPBTRNAGLU.05;SPNCRNA.1389;SPNCRNA.1391;SPBC31A8.02;SPBC3D6.02;SPBC32H8.15;SPNCRNA.1441;SPBC29B5.01;SPNCRNA.1443;SPNCRNA.1453;SPBC19C2.07;SPBC19C2.08;SPBC3H7.05c;SPBC1815.01;SPNCRNA.1501;SPBC32F12.11;SPNCRNA.1553;SPNCRNA.26;SPNCRNA.1572;SPBC15D4.02;SPBC4B4.08;SPBC16D10.06;SPNCRNA.1672;SPNCRNA.1674;SPNCRNA.113;SPBC1861.02;SPNCRNA.1305;SPNCRNA.1318;SPNCRNA.1366;SPBC1685.12c;SPBC530.11c;SPBC36.02c;SPNCRNA.1390;SPBC36.03c;SPBC36.13;SPNCRNA.1425;SPBC32H8.02c;SPBC19C2.06c;SPNCRNA.1460;SPNCRNA.1471;SPBC16H5.02;SPBC2G5.06c;SPBC32F12.17;SPBC19C7.04c;SPNCRNA.1554;SPNCRNA.1571;SPBC4B4.07c;SPNCRNA.1622;SPNCRNA.1645;SPBC1861.01c;SPNCRNA.1673;SPBC14F5.04c;ENSRNA049622790;SPCTRNAHIS.03;SPCC1235.01;SPCC794.16;SPCC594.01;SPCC594.03;SPNCRNA.466;SPNCRNA.472;SPNCRNA.1157;SPCC63.13;SPCC63.14;SPCC1322.08;SPCC1281.08;SPNCRNA.1202;SPNCRNA.69;SPNCRNA.131;SPNCRNA.1218;SPNCRNA.1237;SPNCRNA.1238;SPCC1223.13;SPCC1739.13;SPCC757.11c;SPNCRNA.1116;SPCC794.04c;SPNCRNA.1133;SPCC594.02c;SPCC1672.02c;SPCC18B5.01c;SPCC1020.10;SPNCRNA.1156;SPNCRNA.1165;SPCC1322.07c;SPCC584.16c;SPCC417.15;SPNCRNA.32;SPCC417.16;SPCC1223.12c
Gaf1,
